anio,vab_pb,provincia,share,geocodigo,geocodigoFundar,geonombreFundar
2004,37.1713419627947,CABA,2.5768773162485,AR-C,AR-C,CABA
2005,36.5831914654599,CABA,2.74726798756974,AR-C,AR-C,CABA
2006,46.5239746933563,CABA,2.18308781692084,AR-C,AR-C,CABA
2007,44.7717336106656,CABA,2.33802884220935,AR-C,AR-C,CABA
2008,45.7638075499827,CABA,2.26927434082212,AR-C,AR-C,CABA
2009,32.0356724292424,CABA,1.98415527777129,AR-C,AR-C,CABA
2010,30.7067912962403,CABA,1.85130647744241,AR-C,AR-C,CABA
2011,29.3076319828324,CABA,1.6792890636463,AR-C,AR-C,CABA
2012,27.1055599909456,CABA,1.54399094064443,AR-C,AR-C,CABA
2013,24.6318315570712,CABA,1.14169707178666,AR-C,AR-C,CABA
2014,25.2706902047355,CABA,1.15687158125698,AR-C,AR-C,CABA
2015,23.3537381723211,CABA,1.04288053735444,AR-C,AR-C,CABA
2016,23.8121038486674,CABA,1.06479615366015,AR-C,AR-C,CABA
2017,24.2681943296571,CABA,0.94944779851293,AR-C,AR-C,CABA
2018,24.9404691803036,CABA,0.925568420370845,AR-C,AR-C,CABA
2019,26.4821853047309,CABA,1.09307826184542,AR-C,AR-C,CABA
2020,21.970088359074,CABA,1.08913664008028,AR-C,AR-C,CABA
2021,23.8961743707747,CABA,0.994944580242902,AR-C,AR-C,CABA
2022,28.1814886066174,CABA,1.149749236169,AR-C,AR-C,CABA
2023,24.4157389733223,CABA,1.06473014893737,AR-C,AR-C,CABA
2004,458.77333860634,Buenos Aires,31.804141231639,AR-B,AR-B,Buenos Aires
2005,447.618558961788,Buenos Aires,33.6145669204086,AR-B,AR-B,Buenos Aires
2006,613.181543033584,Buenos Aires,28.7728889240518,AR-B,AR-B,Buenos Aires
2007,570.167289446754,Buenos Aires,29.7747587619272,AR-B,AR-B,Buenos Aires
2008,638.292369076785,Buenos Aires,31.6507863447883,AR-B,AR-B,Buenos Aires
2009,543.824604410201,Buenos Aires,33.6822166416408,AR-B,AR-B,Buenos Aires
2010,568.627922056017,Buenos Aires,34.2824668719397,AR-B,AR-B,Buenos Aires
2011,567.490508266389,Buenos Aires,32.516465499944,AR-B,AR-B,Buenos Aires
2012,537.197720900921,Buenos Aires,30.5999364957934,AR-B,AR-B,Buenos Aires
2013,702.966622841146,Buenos Aires,32.5828362784127,AR-B,AR-B,Buenos Aires
2014,679.802700843623,Buenos Aires,31.1208130484839,AR-B,AR-B,Buenos Aires
2015,713.449791934075,Buenos Aires,31.8596918787701,AR-B,AR-B,Buenos Aires
2016,716.199223181289,Buenos Aires,32.025989091279,AR-B,AR-B,Buenos Aires
2017,734.741737913127,Buenos Aires,28.7453988566705,AR-B,AR-B,Buenos Aires
2018,725.406096510217,Buenos Aires,26.9206232657636,AR-B,AR-B,Buenos Aires
2019,701.474426484398,Buenos Aires,28.9540473343639,AR-B,AR-B,Buenos Aires
2020,622.237702305129,Buenos Aires,30.8465705437175,AR-B,AR-B,Buenos Aires
2021,713.047167915521,Buenos Aires,29.6885352511804,AR-B,AR-B,Buenos Aires
2022,776.688747858325,Buenos Aires,31.6873713470721,AR-B,AR-B,Buenos Aires
2023,710.60120884532,Buenos Aires,30.9881479219469,AR-B,AR-B,Buenos Aires
2004,3.42805189680506,Corrientes,0.237647303146638,AR-W,AR-W,Corrientes
2005,3.08383150747527,Corrientes,0.231584813685398,AR-W,AR-W,Corrientes
2006,6.30504901969424,Corrientes,0.295857690378048,AR-W,AR-W,Corrientes
2007,5.38519712937892,Corrientes,0.281220877416985,AR-W,AR-W,Corrientes
2008,5.93824924176621,Corrientes,0.294457942972264,AR-W,AR-W,Corrientes
2009,3.99410032553868,Corrientes,0.247377833518852,AR-W,AR-W,Corrientes
2010,4.1569131565503,Corrientes,0.250619486049309,AR-W,AR-W,Corrientes
2011,4.41908058660158,Corrientes,0.253207550333601,AR-W,AR-W,Corrientes
2012,4.72478044527701,Corrientes,0.269133646620047,AR-W,AR-W,Corrientes
2013,6.77612053910392,Corrientes,0.314076399866719,AR-W,AR-W,Corrientes
2014,6.92248490101391,Corrientes,0.316905711271899,AR-W,AR-W,Corrientes
