"prov_cod","prov_desc","tasa_empleo_18_65_mujeres","prop_usa_lavarropas"
"2","CABA","0.755180397863053","0.766962781563899"
"6","Buenos Aires","0.625285090913218","0.692271442035815"
"10","Catamarca","0.590939600487809","0.565825482279049"
"14","Córdoba","0.58584950582228","0.723311696370481"
"18","Corrientes","0.482550453426459","0.506944416592804"
"22","Chaco","0.505072093712369","0.430127181421122"
"26","Chubut","0.594071842642048","0.81412913014924"
"30","Entre Ríos","0.569709047017196","0.63129442467763"
"34","Formosa","0.421377801386149","0.415524509307381"
"38","Jujuy","0.623201610919263","0.615615934338074"
"42","La Pampa","0.623781518559383","0.797227601102257"
"46","La Rioja","0.585750396298359","0.701219960700663"
"50","Mendoza","0.588961556488566","0.843692658619935"
"54","Misiones","0.611541798613656","0.548458629425044"
"58","Neuquén","0.599055022257527","0.793523659498466"
"62","Río Negro","0.542794587810665","0.734564015235576"
"66","Salta","0.595648503662555","0.547347301481512"
"70","San Juan","0.515783935461242","0.745884218145055"
"74","San Luis","0.622474695310886","0.78980991084452"
"78","Santa Cruz","0.619858350390093","0.8425803127594"
"82","Santa Fe","0.614328936315839","0.66688972930393"
"86","Santiago del Estero","0.552189933912984","0.328092539066028"
"90","Tucumán","0.598329293002388","0.437295917185799"
"94","Tierra del Fuego","0.608842741717803","0.916818299974006"
