geocodigoFundar,geonombreFundar,anio,valor,calculo
GTM,Guatemala,2022,667.9487,Publicaciones en SCOPUS cada 100 investigadores (EJC)
COL,Colombia,2017,283.2056,Publicaciones en SCOPUS cada 100 investigadores (EJC)
DOM,Rep. Dominicana,2022,184.375,Publicaciones en SCOPUS cada 100 investigadores (EJC)
CHL,Chile,2021,166.2777,Publicaciones en SCOPUS cada 100 investigadores (EJC)
MEX,México,2022,95.3643,Publicaciones en SCOPUS cada 100 investigadores (EJC)
TTO,Trinidad y Tobago,2022,82.7211,Publicaciones en SCOPUS cada 100 investigadores (EJC)
BOL,Bolivia,2021,82.3644,Publicaciones en SCOPUS cada 100 investigadores (EJC)
URY,Uruguay,2022,79.5112,Publicaciones en SCOPUS cada 100 investigadores (EJC)
ESP,España,2022,75.9093,Publicaciones en SCOPUS cada 100 investigadores (EJC)
CRI,Costa Rica,2022,74.7974,Publicaciones en SCOPUS cada 100 investigadores (EJC)
SLV,El Salvador,2022,65.374,Publicaciones en SCOPUS cada 100 investigadores (EJC)
PRY,Paraguay,2022,64.6927,Publicaciones en SCOPUS cada 100 investigadores (EJC)
PRT,Portugal,2022,63.384,Publicaciones en SCOPUS cada 100 investigadores (EJC)
CAN,Canadá,2020,62.1848,Publicaciones en SCOPUS cada 100 investigadores (EJC)
RICYT_IBE,Iberoamérica,2022,52.4383,Publicaciones en SCOPUS cada 100 investigadores (EJC)
LCN,América Latina y el Caribe,2022,47.0684,Publicaciones en SCOPUS cada 100 investigadores (EJC)
USA,Estados Unidos,2021,46.2366,Publicaciones en SCOPUS cada 100 investigadores (EJC)
HND,Honduras,2017,45.8716,Publicaciones en SCOPUS cada 100 investigadores (EJC)
BRA,Brasil,2014,37.9868,Publicaciones en SCOPUS cada 100 investigadores (EJC)
ARG,Argentina,2022,29.1159,Publicaciones en SCOPUS cada 100 investigadores (EJC)
ECU,Ecuador,2014,16.5867,Publicaciones en SCOPUS cada 100 investigadores (EJC)
VEN,Venezuela,2022,14.6981,Publicaciones en SCOPUS cada 100 investigadores (EJC)
NIC,Nicaragua,1997,11.4706,Publicaciones en SCOPUS cada 100 investigadores (EJC)
CUB,Cuba,2022,11.2862,Publicaciones en SCOPUS cada 100 investigadores (EJC)
