iso3,iso3_desc_fundar,anio,idha_subdimension,valor
AFG,Afganistán,1870,Años de escolarización,
AFG,Afganistán,1870,Democracia liberal,
AFG,Afganistán,1870,PIB per cápita,
AFG,Afganistán,1870,Esperanza de vida,
AFG,Afganistán,1870,Total,
AFG,Afganistán,1880,Años de escolarización,
AFG,Afganistán,1880,Democracia liberal,
AFG,Afganistán,1880,PIB per cápita,
AFG,Afganistán,1880,Esperanza de vida,
AFG,Afganistán,1880,Total,
AFG,Afganistán,1890,Años de escolarización,
AFG,Afganistán,1890,Democracia liberal,
AFG,Afganistán,1890,PIB per cápita,
AFG,Afganistán,1890,Esperanza de vida,
AFG,Afganistán,1890,Total,
AFG,Afganistán,1900,Años de escolarización,
AFG,Afganistán,1900,Democracia liberal,
AFG,Afganistán,1900,PIB per cápita,
AFG,Afganistán,1900,Esperanza de vida,
AFG,Afganistán,1900,Total,
AFG,Afganistán,1913,Años de escolarización,
AFG,Afganistán,1913,Democracia liberal,
AFG,Afganistán,1913,PIB per cápita,
AFG,Afganistán,1913,Esperanza de vida,
AFG,Afganistán,1913,Total,
AFG,Afganistán,1925,Años de escolarización,
AFG,Afganistán,1925,Democracia liberal,
AFG,Afganistán,1925,PIB per cápita,
AFG,Afganistán,1925,Esperanza de vida,
AFG,Afganistán,1925,Total,
AFG,Afganistán,1929,Años de escolarización,
AFG,Afganistán,1929,Democracia liberal,
AFG,Afganistán,1929,PIB per cápita,
AFG,Afganistán,1929,Esperanza de vida,
AFG,Afganistán,1929,Total,
AFG,Afganistán,1933,Años de escolarización,
AFG,Afganistán,1933,Democracia liberal,
AFG,Afganistán,1933,PIB per cápita,
AFG,Afganistán,1933,Esperanza de vida,
AFG,Afganistán,1933,Total,
AFG,Afganistán,1938,Años de escolarización,
AFG,Afganistán,1938,Democracia liberal,
AFG,Afganistán,1938,PIB per cápita,
AFG,Afganistán,1938,Esperanza de vida,
AFG,Afganistán,1938,Total,
AFG,Afganistán,1950,Años de escolarización,.0054685528531489
AFG,Afganistán,1950,Democracia liberal,.076
AFG,Afganistán,1950,PIB per cápita,.3219709951923814
AFG,Afganistán,1950,Esperanza de vida,.0468669099859232
AFG,Afganistán,1950,Total,.0500428769514701
AFG,Afganistán,1955,Años de escolarización,.0063841734415185
AFG,Afganistán,1955,Democracia liberal,.073
AFG,Afganistán,1955,PIB per cápita,.3342717222751262
AFG,Afganistán,1955,Esperanza de vida,.0525358000654612
AFG,Afganistán,1955,Total,.0534866788034279
AFG,Afganistán,1960,Años de escolarización,.0077188022739948
AFG,Afganistán,1960,Democracia liberal,.073
AFG,Afganistán,1960,PIB per cápita,.3443449211854647
AFG,Afganistán,1960,Esperanza de vida,.060997805574933
AFG,Afganistán,1960,Total,.0586536667532706
AFG,Afganistán,1965,Años de escolarización,.0091576637653793
AFG,Afganistán,1965,Democracia liberal,.101
AFG,Afganistán,1965,PIB per cápita,.3397886491753306
AFG,Afganistán,1965,Esperanza de vida,.0717359036415461
AFG,Afganistán,1965,Total,.0689069261439691
AFG,Afganistán,1970,Años de escolarización,.0155105128639647
AFG,Afganistán,1970,Democracia liberal,.104
AFG,Afganistán,1970,PIB per cápita,.3375635696394577
AFG,Afganistán,1970,Esperanza de vida,.0797210961148692
AFG,Afganistán,1970,Total,.0811702871643015
AFG,Afganistán,1975,Años de escolarización,.0208423232239767
AFG,Afganistán,1975,Democracia liberal,.057
AFG,Afganistán,1975,PIB per cápita,.3101158492658971
AFG,Afganistán,1975,Esperanza de vida,.0849177449183239
AFG,Afganistán,1975,Total,.0747886767683815
AFG,Afganistán,1980,Años de escolarización,.0279114837066208
AFG,Afganistán,1980,Democracia liberal,.045
AFG,Afganistán,1980,PIB per cápita,.3014488618993451
AFG,Afganistán,1980,Esperanza de vida,.0907673524821081
AFG,Afganistán,1980,Total,.0765657759811999
AFG,Afganistán,1985,Años de escolarización,.0353554733511156
AFG,Afganistán,1985,Democracia liberal,.05
AFG,Afganistán,1985,PIB per cápita,.3415867801999041
AFG,Afganistán,1985,Esperanza de vida,.0962120440279705
AFG,Afganistán,1985,Total,.0873050346637085
AFG,Afganistán,1990,Años de escolarización,.0417483849620961
AFG,Afganistán,1990,Democracia liberal,.049
AFG,Afganistán,1990,PIB per cápita,.2923067316753192
AFG,Afganistán,1990,Esperanza de vida,.122170014092059
AFG,Afganistán,1990,Total,.0924506140646851
AFG,Afganistán,1995,Años de escolarización,.0518216398827276
AFG,Afganistán,1995,Democracia liberal,.024
AFG,Afganistán,1995,PIB per cápita,.1960057208444363
AFG,Afganistán,1995,Esperanza de vida,.166373664275919
AFG,Afganistán,1995,Total,.0798029472276773
AFG,Afganistán,2000,Años de escolarización,.0675326157462232
AFG,Afganistán,2000,Democracia liberal,.028
AFG,Afganistán,2000,PIB per cápita,.130348842582149
AFG,Afganistán,2000,Esperanza de vida,.1876122415388252
AFG,Afganistán,2000,Total,.0824631629656341
AFG,Afganistán,2005,Años de escolarización,.0831262581075884
AFG,Afganistán,2005,Democracia liberal,.133
AFG,Afganistán,2005,PIB per cápita,.2081894190795276
AFG,Afganistán,2005,Esperanza de vida,.213684882841905
AFG,Afganistán,2005,Total,.1489208756472859
AFG,Afganistán,2010,Años de escolarización,.1083160720580596
AFG,Afganistán,2010,Democracia liberal,.227
AFG,Afganistán,2010,PIB per cápita,.2651178728469139
AFG,Afganistán,2010,Esperanza de vida,.2371931382074411
AFG,Afganistán,2010,Total,.1982964648476161
AFG,Afganistán,2015,Años de escolarización,.0997250608545009
AFG,Afganistán,2015,Democracia liberal,.231
AFG,Afganistán,2015,PIB per cápita,.2870987167643753
AFG,Afganistán,2015,Esperanza de vida,.2558340224120473
AFG,Afganistán,2015,Total,.202815648316824
AFG,Afganistán,2020,Años de escolarización,.0779562304862559
AFG,Afganistán,2020,Democracia liberal,.191
AFG,Afganistán,2020,PIB per cápita,.2792334837188109
AFG,Afganistán,2020,Esperanza de vida,.2549392886817933
AFG,Afganistán,2020,Total,.1804355532792284
AGO,Angola,1870,Años de escolarización,.0024700384609097
AGO,Angola,1870,Democracia liberal,.01
AGO,Angola,1870,PIB per cápita,.2922806429390601
AGO,Angola,1870,Esperanza de vida,.0191747201441465
AGO,Angola,1870,Total,.0192889328393757
AGO,Angola,1880,Años de escolarización,.0024700384609097
AGO,Angola,1880,Democracia liberal,.015
AGO,Angola,1880,PIB per cápita,.2955089046674327
AGO,Angola,1880,Esperanza de vida,.0191747201441465
AGO,Angola,1880,Total,.0214054146584637
AGO,Angola,1890,Años de escolarización,.0024700384609097
AGO,Angola,1890,Democracia liberal,.025
AGO,Angola,1890,PIB per cápita,.3026664320475498
AGO,Angola,1890,Esperanza de vida,.0191747201441465
AGO,Angola,1890,Total,.0244671989807134
AGO,Angola,1900,Años de escolarización,.0024700384609097
AGO,Angola,1900,Democracia liberal,.035
AGO,Angola,1900,PIB per cápita,.3143699514684274
AGO,Angola,1900,Esperanza de vida,.0191747201441465
